id,split,category,language,difficulty,question_type,question,used_query,answerable,expected_documents,expected_pages,first_relevant_document_rank,first_relevant_page_rank,document_mrr,page_mrr,returned_no_result,retrieval_false_positive,latency_ms,retrieved_chunk_count,top_score,top_base_score,top_reranker_score,top_evidence_score,top_evidence_supported,top_evidence_missing_concepts,top_evidence_hard_failures,top_answerability_score,top_answerability_reason,top_answerability_score_margin,top_answerability_supporting_candidates,retrieved_documents,document_hit@1,document_precision@1,document_recall@1,document_hit@3,document_precision@3,document_recall@3,document_hit@5,document_precision@5,document_recall@5,page_hit@1,page_precision@1,page_recall@1,page_hit@3,page_precision@3,page_recall@3,page_hit@5,page_precision@5,page_recall@5
SOP-009,test,sop,id,medium,requirement,"Sebelum kita dapat secara legal mencairkan dana ke agensi eksternal baru, dokumen apa yang wajib mereka berikan kepada tim keuangan kita?",new vendor procurement requirements tax ID NPWP bank details purchase order,True,sop_procurement.pdf,sop_procurement.pdf#p1,1,1,1.0,1.0,,,287.824,5,0.839527,0.786036,,1.0,True,,,0.867787,"Retrieval contains explicit, sufficiently supported evidence.",0.423537,1,1:SOP_Procurement.pdf#p1[0.839527] | 2:Policy_Procurement_Threshold.docx#p1[0.41599] | 3:Report_Vendor_Evaluation.pdf#p1[0.330896] | 4:SOP_Expense_Reimbursement.pdf#p1[0.328439] | 5:TECH_Database_Schema.txt#p1[0.32808],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
SOP-010,test,sop,id,medium,procedural,"Jika saya harus terbang dari Jakarta ke Bali untuk konferensi pada tanggal 20 bulan ini, paling lambat tanggal berapa saya harus menyelesaikan reservasi?",domestic flight travel booking advance notice at least 7 days,True,sop_travel_booking.pdf,sop_travel_booking.pdf#p1,1,1,1.0,1.0,,,279.403,5,0.824106,0.790475,,0.925,True,,,0.873348,"Retrieval contains explicit, sufficiently supported evidence.",0.323451,3,1:SOP_Travel_Booking.pdf#p1[0.824106] | 2:SOP_Leave_Request.pdf#p1[0.500655] | 3:Policy_Travel_Expense.docx#p1[0.404909] | 4:SOP_Onboarding.pdf#p1[0.343713] | 5:Policy_Leave.docx#p1[0.319424],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
TECH-008,test,technical,id,easy,factual,Berapa ambang batas keandalan (target operasional) untuk antarmuka programatik kita secara bulanan?,API availability SLO monthly target 99.9%,True,tech_monitoring_guide.txt,tech_monitoring_guide.txt#p1,1,1,1.0,1.0,,,268.65,1,0.762021,0.722695,,0.88,True,,,0.766909,"Retrieval contains explicit, sufficiently supported evidence.",0.762021,1,1:TECH_Monitoring_Guide.txt#p1[0.762021],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
TECH-009,test,technical,id,hard,multi_fact,"Sistem orkestrasi kontainer apa yang mengelola beban kerja kita, dan *engine* teknologi apa yang digunakan untuk penyimpanan persisten (database) vs tembolok memori sementara?",microservices architecture Kubernetes primary datastore PostgreSQL Redis caching,True,tech_system_architecture.txt,tech_system_architecture.txt#p1,1,1,1.0,1.0,,,285.751,1,0.895,0.86,,1.0,True,,,0.90275,"Retrieval contains explicit, sufficiently supported evidence.",0.895,1,1:TECH_System_Architecture.txt#p1[0.895],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
TECH-010,test,technical,id,medium,multi_fact,"Untuk melakukan tunnel ke jaringan server secara aman, klien perangkat lunak spesifik apa yang harus dikonfigurasi, dan fitur lapisan keamanan tambahan apa yang diaktifkan saat login?",VPN connection client WireGuard multi-factor authentication MFA,True,tech_vpn_setup.txt,tech_vpn_setup.txt#p1,1,1,1.0,1.0,,,289.937,2,0.856849,0.809132,,1.0,True,,,0.923082,"Retrieval contains explicit, sufficiently supported evidence.",0.354528,2,1:TECH_VPN_Setup.txt#p1[0.856849] | 2:Policy_Password.docx#p1[0.502321],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
NEG-006,test,negative,id,medium,unanswerable,Apa URL *endpoint* persis yang digunakan karyawan untuk memicu fitur setel ulang kata sandi Active Directory mandiri di portal IT?,Apa URL endpoint persis yang digunakan karyawan untuk memicu fitur setel ulang kata sandi Active Directory mandiri di portal IT?,False,,,,,0.0,0.0,True,False,329.25,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEG-007,test,negative,id,hard,unanswerable,"Menurut panduan kode etik korporat, berapa nilai nominal maksimum yang diizinkan (dalam mata uang Rupiah) untuk menerima bingkisan atau hadiah dari vendor potensial?","Menurut panduan kode etik korporat, berapa nilai nominal maksimum yang diizinkan (dalam mata uang Rupiah) untuk menerima bingkisan atau hadiah dari vendor potensial?",False,,,,,0.0,0.0,True,False,355.022,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEG-008,test,negative,id,hard,unanswerable,Seberapa sering 'Full Datacenter Failover Exercise' dieksekusi secara aktif untuk memvalidasi tercapainya metrik RTO pada rencana pemulihan bencana?,Seberapa sering 'Full Datacenter Failover Exercise' dieksekusi secara aktif untuk memvalidasi tercapainya metrik RTO pada rencana pemulihan bencana?,False,,,,,0.0,0.0,True,False,369.933,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEG-009,test,negative,id,medium,unanswerable,"Jika peringatan kotak masuk email saya sudah mendekati batas 50 GB, bagaimana langkah sistematis untuk mengarsipkan email yang lebih tua dari 3 tahun secara permanen?","Jika peringatan kotak masuk email saya sudah mendekati batas 50 GB, bagaimana langkah sistematis untuk mengarsipkan email yang lebih tua dari 3 tahun secara permanen?",False,,,,,0.0,0.0,True,False,405.999,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEG-010,test,negative,id,medium,unanswerable,Apa nama perangkat lunak dan nomor versi spesifik dari aplikasi CRM internal yang dimanfaatkan divisi *sales* untuk memantau data *churn* klien?,Apa nama perangkat lunak dan nomor versi spesifik dari aplikasi CRM internal yang dimanfaatkan divisi sales untuk memantau data churn klien?,False,,,,,0.0,0.0,True,False,355.11,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
